atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,1304.0,-27.823345048,-27.399902927999996,-27.190380638,-26.620151307999997,-19.864219488000003,7.959125559999997,-27.190380638,-26.83589636579141,1.0826951169687793,0.779751619999999,-25.450523878,-28.569530357999994,3.3281176780371218,14.727163373008658,eV
eatom,all,1304.0,-3.47792,-3.42499,-3.3988,-3.32752,-2.48303,0.9948900000000003,-3.3988,-3.354486932515337,0.13533662732053495,0.09747000000000039,-3.1813149999999992,-3.571195000000001,3.3281077260066634,14.7270729667672,eV_per_atom
fmag,all,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,%
nn1_dist,all,1304.0,2.236075936747229,2.459939857110332,2.5491562471923923,2.972682681156172,4.476655296647264,2.240579359900035,2.5491562471923923,2.869789346169191,0.640727987460572,0.5127428240458403,3.7417969172249324,1.6908256210415715,1.1648648857748092,-0.432337958736873,%
