group,fname,natoms,econfig,eatom,elem1,elem2,num_elem1,num_elem2,conc_elem1,conc_elem2,stress_rowform,atom_id,atom_elem,x,y,z,fx,fy,fz,fmag,nn1_idx,nn1_elem,nn1_dist,flags_out,flags_thresh
s_vv,vv_0_Cspair_tdA_sc3k2cl_d0lda25.json,62,-210.71449997199977,-3.39862,In,P,31,31,50.0,50.0,-21895.350000000002 5493.71 1673.0|5493.71 -21895.350000000002 1673.0|1673.0 1673.0 -18799.27,0,In,9.911050000000001,7.63463,7.38417,0.002191,0.000605,-0.0014,0.0026695516477491118,34,P,2.5797078153542894,,
s_vv,vv_0_Cspair_tdA_sc3k2cl_d0lda25.json,62,-210.71449997199977,-3.39862,In,P,31,31,50.0,50.0,-21895.350000000002 5493.71 1673.0|5493.71 -21895.350000000002 1673.0|1673.0 1673.0 -18799.27,1,In,7.63463,9.911050000000001,7.38417,0.000605,0.002191,-0.0014,0.0026695516477491118,36,P,2.5797078153542894,,
s_vv,vv_0_Cspair_tdA_sc3k2cl_d0lda25.json,62,-210.71449997199977,-3.39862,In,P,31,31,50.0,50.0,-21895.350000000002 5493.71 1673.0|5493.71 -21895.350000000002 1673.0|1673.0 1673.0 -18799.27,2,In,7.108930000000001,7.108930000000001,10.43907,-0.002495,-0.002495,0.002394,0.004263951922805884,42,P,2.494645872223149,nn1_dist ,
s_vv,vv_0_Cspair_tdA_sc3k2cl_d0lda25.json,62,-210.71449997199977,-3.39862,In,P,31,31,50.0,50.0,-21895.350000000002 5493.71 1673.0|5493.71 -21895.350000000002 1673.0|1673.0 1673.0 -18799.27,3,In,1.3929700000000003,10.29939,7.394150000000001,-0.000724,0.00217,-0.000765,0.0024121154615813897,43,P,2.550248907538242,,
s_vv,vv_0_Cspair_tdA_sc3k2cl_d0lda25.json,62,-210.71449997199977,-3.39862,In,P,31,31,50.0,50.0,-21895.350000000002 5493.71 1673.0|5493.71 -21895.350000000002 1673.0|1673.0 1673.0 -18799.27,4,In,1.3466400000000003,7.411530000000001,10.268620000000002,-0.002193,0.001414,-0.000832,0.002738771439897824,43,P,2.5521868790118027,,
s_vv,vv_0_Cspair_tdA_sc3k2cl_d0lda25.json,62,-210.71449997199977,-3.39862,In,P,31,31,50.0,50.0,-21895.350000000002 5493.71 1673.0|5493.71 -21895.350000000002 1673.0|1673.0 1673.0 -18799.27,5,In,10.29939,1.3929700000000003,7.394150000000001,0.00217,-0.000724,-0.000765,0.0024121154615813897,44,P,2.550248907538242,,
s_vv,vv_0_Cspair_tdA_sc3k2cl_d0lda25.json,62,-210.71449997199977,-3.39862,In,P,31,31,50.0,50.0,-21895.350000000002 5493.71 1673.0|5493.71 -21895.350000000002 1673.0|1673.0 1673.0 -18799.27,6,In,10.30621,7.44008,1.42428,-0.000523,-0.004931,0.001863,0.005297080233487123,45,P,2.5371644993969156,,
s_vv,vv_0_Cspair_tdA_sc3k2cl_d0lda25.json,62,-210.71449997199977,-3.39862,In,P,31,31,50.0,50.0,-21895.350000000002 5493.71 1673.0|5493.71 -21895.350000000002 1673.0|1673.0 1673.0 -18799.27,7,In,7.411530000000001,1.3466400000000003,10.268620000000002,0.001414,-0.002193,-0.000832,0.002738771439897824,44,P,2.5521868790118027,,
s_vv,vv_0_Cspair_tdA_sc3k2cl_d0lda25.json,62,-210.71449997199977,-3.39862,In,P,31,31,50.0,50.0,-21895.350000000002 5493.71 1673.0|5493.71 -21895.350000000002 1673.0|1673.0 1673.0 -18799.27,8,In,7.44008,10.30621,1.42428,-0.004931,-0.000523,0.001863,0.005297080233487123,45,P,2.5371644993969156,,
s_vv,vv_0_Cspair_tdA_sc3k2cl_d0lda25.json,62,-210.71449997199977,-3.39862,In,P,31,31,50.0,50.0,-21895.350000000002 5493.71 1673.0|5493.71 -21895.350000000002 1673.0|1673.0 1673.0 -18799.27,9,In,10.284550000000001,10.284550000000001,4.37126,0.00048,0.00048,-0.002578,0.0026658739655129986,34,P,2.533063508106341,,
