atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,4030.0,-211.46409782199976,-211.4435180019998,-210.71172933199978,-210.67423987199976,-210.45875184199974,1.0053459800000155,-210.71172933199978,-210.90190736461517,0.35901126434995023,0.769278130000032,-209.5203226769997,-212.59743519699984,-0.854302943609185,-1.1593818298603351,eV
eatom,all,4030.0,-3.41071,-3.41038,-3.39858,-3.39797,-3.3945,0.016210000000000058,-3.39858,-3.4016436923076925,0.005790997537912222,0.012410000000000032,-3.379355,-3.428995,-0.8543748218260043,-1.1593967254994735,eV_per_atom
fmag,all,4030.0,1.7320508075688774e-05,0.0034853943822758422,0.008835347248410782,0.027659758856341407,0.47256439615781465,0.47254707564973897,0.008835347248410782,0.02766184319022561,0.0526669856449329,0.024174364474065565,0.06392130556743975,-0.0327761523288225,4.352095127139076,23.338634920232664,%
nn1_dist,all,4030.0,2.4774330991572717,2.532029572332332,2.539282274500241,2.551789985990226,3.6906178867636785,1.2131847876064068,2.539282274500241,2.5902136225062455,0.22434657015959675,0.019760413657894382,2.581430606477068,2.5023889518454903,4.207069993129513,15.966435242538903,%
