atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,8.0,-27.839999997999996,-27.839999997999996,-27.839999997999996,-27.839999997999996,-27.839999997999996,0.0,-27.839999997999996,-27.839999997999996,0.0,0.0,-27.839999997999996,-27.839999997999996,0.0,0.0,eV
eatom,all,8.0,-3.48,-3.48,-3.48,-3.48,-3.48,0.0,-3.48,-3.48,0.0,0.0,-3.48,-3.48,0.0,0.0,eV_per_atom
fmag,all,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,%
nn1_dist,all,8.0,2.524464052031638,2.524464052031638,2.524464052031638,2.9239561726031216,4.122432534317572,1.5979684822859341,2.524464052031638,2.9239561726031216,0.7397156698516779,0.3994921205714834,3.5231943534603465,1.925225871174413,1.4401645996461911,0.0,%
