group,fname,flags_thresh,flags_out,flags_natoms,flags_atomids,natoms,econfig,eatom,max_fmag,min_nn1_dist
Shear,InP_shear_1141.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.7190080279999975,-0.96488,11.179644617179429,4.138767281449876
Shear,InP_shear_1151.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.900886858,-0.98761,10.861499238442454,4.2378912081482225
Shear,InP_shear_1151.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.900886858,-0.98761,10.861499238442454,4.2378912081482225
Shear,InP_shear_1161.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.863110837999997,-0.98289,10.876852225726935,4.34986440896725
Shear,InP_shear_1161.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.863110837999997,-0.98289,10.876852225726935,4.34986440896725
Shear,InP_shear_1171.json,fmag>8 ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.808869368,-0.85111,12.590004430180397,4.139963096949054
Shear,InP_shear_1171.json,fmag>8 nn1_dist_outside_2.0-4.5A ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.808869368,-0.85111,12.590004430180397,4.139963096949054
Shear,InP_shear_1171.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.808869368,-0.85111,12.590004430180397,4.139963096949054
Shear,InP_shear_1171.json,fz>8 fmag>8 ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.808869368,-0.85111,12.590004430180397,4.139963096949054
Shear,InP_shear_1181.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.919664508,-0.98996,10.840796293167811,4.205040796769991
Shear,InP_shear_1181.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.919664508,-0.98996,10.840796293167811,4.205040796769991
Shear,InP_shear_1191.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.556353957999999,-0.94454,11.388123976974743,4.30824980669645
Shear,InP_shear_1191.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.556353957999999,-0.94454,11.388123976974743,4.30824980669645
Shear,InP_shear_1201.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.866919008,-0.98336,10.869693944914225,4.351774358304897
Shear,InP_shear_1201.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.866919008,-0.98336,10.869693944914225,4.351774358304897
Shear,InP_shear_121.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.908592007999999,-0.98857,10.857307550119277,4.211662458887227
Shear,InP_shear_121.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.908592007999999,-0.98857,10.857307550119277,4.211662458887227
Shear,InP_shear_1211.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.715567688,-0.96445,11.144530180077533,4.285402333923853
Shear,InP_shear_1211.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.715567688,-0.96445,11.144530180077533,4.285402333923853
Shear,InP_shear_1221.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.890301257999997,-0.98629,10.879209701836619,4.23717488244231
Shear,InP_shear_1221.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.890301257999997,-0.98629,10.879209701836619,4.23717488244231
Shear,InP_shear_1231.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.097360538,-0.88717,12.150404360259456,4.17845939594966
Shear,InP_shear_1231.json,fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.097360538,-0.88717,12.150404360259456,4.17845939594966
Shear,InP_shear_1231.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.097360538,-0.88717,12.150404360259456,4.17845939594966
Shear,InP_shear_1231.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.097360538,-0.88717,12.150404360259456,4.17845939594966
Shear,InP_shear_1241.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.482695348,-0.93534,11.471846915405644,4.368898323662385
Shear,InP_shear_1241.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.482695348,-0.93534,11.471846915405644,4.368898323662385
Shear,InP_shear_1251.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.040722337999998,-0.88009,12.162211801619309,4.3484361007723225
Shear,InP_shear_1251.json,fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.040722337999998,-0.88009,12.162211801619309,4.3484361007723225
Shear,InP_shear_1251.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.040722337999998,-0.88009,12.162211801619309,4.3484361007723225
Shear,InP_shear_1251.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.040722337999998,-0.88009,12.162211801619309,4.3484361007723225
Shear,InP_shear_1261.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.820923047999997,-0.97762,10.949023931472476,4.342128069783294
Shear,InP_shear_1261.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.820923047999997,-0.97762,10.949023931472476,4.342128069783294
Shear,InP_shear_1271.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.7323916279999985,-0.96655,11.115601045243752,4.289672286830312
Shear,InP_shear_1271.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.7323916279999985,-0.96655,11.115601045243752,4.289672286830312
Shear,InP_shear_1281.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.904136477999998,-0.98802,10.866891454540715,4.203754981870375
