atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,21700.0,-750.3038869409838,-749.8615971934839,-749.7756491159839,-749.2090574209839,-748.542881550984,1.7610053899998093,-749.7756491159839,-749.596097985384,0.5508503096424615,0.652539772500063,-748.2302477622338,-750.8404068522341,0.5993035202030709,-0.7133072690566022,eV
eatom,all,21700.0,-3.45762,-3.45558,-3.45519,-3.45258,-3.44951,0.00810999999999984,-3.45519,-3.4543602000000004,0.0025379698173297297,0.0029999999999996696,-3.448080000000001,-3.4600799999999996,0.5991190125017829,-0.7132191126321885,eV_per_atom
fmag,all,21700.0,0.0,0.0010834145097791518,0.001924016891743591,0.003531898980789713,0.18113042649704106,0.18113042649704106,0.001924016891743591,0.0035133870271965265,0.006375026614080127,0.002448484471010561,0.007204625687305555,-0.00258931219673669,8.587528501704984,115.54734535607592,%
nn1_dist,all,21700.0,2.047720000000001,2.5278573344003297,2.5316848515168706,2.533070036319562,4.84903879470973,2.8013187947097293,2.5316848515168706,2.5349792233358337,0.12572151077726273,0.005212701919232288,2.5408890891984104,2.5200382815214812,12.629362764035319,174.72780190616817,%
