atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,4608.0,-217.04399467196907,-217.01714752446907,-216.91771818196906,-216.6817090094691,-216.4218626519691,0.6221320199999809,-216.91771818196906,-216.82055165377466,0.20374344602704172,0.33543851499996435,-216.17855123696916,-217.520305296969,0.5649380525607238,-1.077677264393301,eV
eatom,all,4608.0,-3.39131,-3.3908924999999996,-3.38934,-3.3856475,-3.38159,0.009719999999999729,-3.38934,-3.3878206944444447,0.0031841348962478246,0.0052449999999995,-3.377780000000001,-3.398759999999999,0.5649042431480996,-1.078068034171873,eV_per_atom
fmag,all,4608.0,7.274613391789285e-05,0.006132502507133609,0.02154366110947719,0.11291197093754056,1.3594433775906225,1.3593706314567047,0.02154366110947719,0.07640100066608191,0.11563837112258986,0.10677946843040695,0.273081173583151,-0.1540367001384768,3.1719775557681698,18.513619220701784,%
nn1_dist,all,4608.0,2.255278352731653,2.5235538303602905,2.532717010761368,2.5355604742541633,2.588837167706767,0.3335588149751141,2.532717010761368,2.5198875232575824,0.0480326738352343,0.012006643893872848,2.5535704400949726,2.505543864519481,-3.8885486447466544,15.59239918206214,%
