atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,4851.0,-218.1859109890151,-218.18529349901513,-218.18406001901513,-218.1788111190151,-218.0161823790151,0.16972860999999284,-218.18406001901513,-218.1725855973268,0.030489831758060266,0.006482380000022658,-218.16908754901507,-218.19501706901517,3.803142134432391,15.605985456684483,eV
eatom,all,4851.0,-3.46327,-3.46326,-3.46324,-3.46316,-3.46057,0.0026999999999999247,-3.46324,-3.4630566233766236,0.0004846856119748631,0.00010000000000021103,-3.4630099999999997,-3.4634100000000005,3.8040036470802385,15.61478948834987,eV_per_atom
fmag,all,4851.0,0.00014376021702821681,0.006246121556079448,0.01152689632988863,0.022556205598460038,0.5680685240989858,0.5679247638819576,0.01152689632988863,0.023580765673918536,0.04147367248575547,0.016310084042380588,0.047021331662030916,-0.018219004507491435,5.87357421936358,48.48671002528418,%
nn1_dist,all,4851.0,2.4798136249928135,2.534668012817457,2.5365060785852673,2.5409720798544813,2.637982942856153,0.15816931786333965,2.5365060785852673,2.5413360566822036,0.014174220578678818,0.006304067037024463,2.5504281804100177,2.52521191226192,2.761891160906268,12.484059997259019,%
