atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,4536.0,-745.9108479239687,-745.9105984439686,-745.3709307439685,-745.3647724639686,-575.0953857439788,170.81546217998994,-745.3709307439685,-730.15847149016,47.741829175782335,0.5458259800000178,-744.5460334939686,-746.7293374139687,2.7726368573334677,5.722160172050717,eV
eatom,all,4536.0,-3.45329,-3.45329,-3.45079,-3.45076,-2.66248,0.79081,-3.45079,-3.3803633333333334,0.22102699699946607,0.0025300000000001432,-3.4469649999999996,-3.457085,2.772635780456759,5.722151838078835,eV_per_atom
fmag,all,4536.0,0.0,0.001229768677434907,0.0031656081564211324,0.008139022763877905,5.882501807972778,5.882501807972778,0.0031656081564211324,0.10305446991532807,0.3778294673597168,0.006909254086442998,0.0185029038935424,-0.009134112452229589,5.537816543757931,47.83908198913965,%
nn1_dist,all,4536.0,2.259021456870209,2.533434413143549,2.5344724332886,2.5351820422999203,2.611514598121175,0.352493141250966,2.5344724332886,2.5292560091122356,0.02782775799180498,0.0017476291563713886,2.5378034860344774,2.530812969408992,-6.159028508397928,43.08531577278214,%
