atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,1152.0,-219.86336771399976,-219.86320843399977,-219.86204768399978,-219.85840997399976,-219.77511716399977,0.08825054999999793,-219.86204768399978,-219.85566931844423,0.01996368913542212,0.0047984600000177124,-219.85121228399973,-219.8704061239998,3.6333532343794994,11.819733358699919,eV
eatom,all,1152.0,-3.43537,-3.43536,-3.435345,-3.43529,-3.43399,0.0013799999999997148,-3.435345,-3.435245,0.00031090909552795604,7.00000000000145e-05,-3.435185,-3.435465,3.637664698082847,11.843414950771418,eV_per_atom
fmag,all,1152.0,7.006425622241343e-05,0.0035810961679684553,0.007458270757165684,0.019137234007252518,0.5602491542162291,0.5601790899600066,0.007458270757165684,0.02092283896863689,0.045950304955867556,0.015556137839284062,0.042471440766178606,-0.019753110590957638,6.4561854793405455,56.086232381198684,%
nn1_dist,all,1152.0,2.2672218925151535,2.5077273979641412,2.52446247173532,2.5319624804719476,2.5674813767776383,0.30025948426248483,2.52446247173532,2.5106258881125445,0.06450724542742023,0.02423508250780637,2.5683151042336574,2.471374774202432,-3.1600121599314304,9.180918319295593,%
