atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,1071.0,-213.30629365698445,-213.3057116169844,-213.2986972169844,-213.2804536869844,-213.20276064698442,0.10353301000003512,-213.2986972169844,-213.28711458639617,0.026583006845104656,0.02525793000000931,-213.2425667919844,-213.34359851198442,1.8833799277508265,3.280885381649069,eV
eatom,all,1071.0,-3.38581,-3.3858,-3.38569,-3.3854,-3.38417,0.0016400000000000858,-3.38569,-3.385507647058823,0.0004213091197464632,0.00039999999999995595,-3.3848000000000003,-3.3864,1.8847715806218273,3.2919303685712786,eV_per_atom
fmag,all,1071.0,0.000523079343885801,0.005028315125367542,0.016026677790484216,0.03739933732491523,0.2881864616771579,0.2876633823332721,0.016026677790484216,0.028934447336402276,0.04035679177121635,0.03237102219954769,0.08595587062423676,-0.043528218173954,3.137209816097047,12.257623294163604,%
nn1_dist,all,1071.0,2.531291960679368,2.5364853195117547,2.5389814698811812,2.5411427445147576,2.5607795881723203,0.029487627492952306,2.5389814698811812,2.5395676131927902,0.005273163493798679,0.004657425003002924,2.5481288820192622,2.5294991820072505,1.2841659639544791,2.1452720063898263,%
