atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,11664.0,-752.1220257480297,-752.0660523480299,-752.0385028680297,-752.0242906480298,-751.9873680980297,0.1346576500000083,-752.0385028680297,-752.0488144930298,0.036903297832890924,0.04176170000005186,-751.9616480980297,-752.12869489803,-0.7078186446607693,-0.29309315701225147,eV
eatom,all,11664.0,-3.48205,-3.48179,-3.4816599999999998,-3.48159,-3.48142,0.0006300000000001305,-3.4816599999999998,-3.4817070370370375,0.00017129473019422196,0.00019999999999997797,-3.4812900000000004,-3.4820900000000004,-0.7075926774155082,-0.28066562215354063,eV_per_atom
fmag,all,11664.0,0.0,0.0018289978130112676,0.003641746421704839,0.0070555913288681904,0.7625526885402739,0.7625526885402739,0.003641746421704839,0.008500368800498087,0.02762304501172735,0.005226593515856923,0.014895481602653575,-0.006010892460774118,16.02827552336084,342.9280442501058,%
nn1_dist,all,11664.0,2.478579219048685,2.531238788755417,2.5327612814673226,2.533929866452504,2.708653806007699,0.23007458695901395,2.5327612814673226,2.5313924178819307,0.011386858779153679,0.0026910776970869854,2.5379664829981348,2.527202172209787,8.034879542452398,115.4583145186191,%
