atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
econfig,all,7744.0,-223.29032403603043,-223.29008335603044,-223.28919824603042,-223.28202189603047,-223.05821725603045,0.23210677999998097,-223.28919824603042,-223.27804805867507,0.031062032599461966,0.008061459999964882,-223.26992970603052,-223.30217554603038,4.472278912160437,23.647601683997067,eV
eatom,all,7744.0,-3.48891,-3.48891,-3.48889,-3.48878,-3.48528,0.003630000000000244,-3.48889,-3.4887193388429747,0.00048595341206508514,0.00012999999999996348,-3.4885850000000005,-3.4891050000000003,4.469728332009239,23.63849502037194,eV_per_atom
fmag,all,7744.0,5.196152422706632e-06,0.004502971723969592,0.009744428408069916,0.02461177638708754,0.8398974173522621,0.8398922211998394,0.009744428408069916,0.02319264514148346,0.04796821809168619,0.02010880466311795,0.05477498338176447,-0.025660235270707335,7.647478384091292,82.99671800780838,%
nn1_dist,all,7744.0,2.4233769431931145,2.520206376708067,2.529911279088255,2.5322997790595068,2.706167479259182,0.2827905360660674,2.529911279088255,2.530857696917757,0.0296529162527787,0.012093402351439853,2.5504398825866668,2.5020662731809074,4.736274072169404,23.909208763971193,%
