atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,4752.0,-0.751487,-0.003526,4.9999999999999996e-05,0.003915,0.807594,1.559081,4.9999999999999996e-05,0.001943449074074074,0.04592382810529864,0.007441,0.0150765,-0.0146875,5.300981653663027,122.22893656080255,eV_per_A
fy,In,4752.0,-0.751487,-0.003526,4.9999999999999996e-05,0.003915,0.807594,1.559081,4.9999999999999996e-05,0.001943449074074074,0.04592382810529864,0.007441,0.0150765,-0.0146875,5.300981653663029,122.22893656080255,eV_per_A
fz,In,4752.0,-1.043895,-0.00401575,-7.9e-05,0.004536,1.085821,2.129716,-7.9e-05,0.0007067554713804711,0.05646533482312688,0.00855175,0.017363625,-0.016843375,0.5838313040132393,106.79215829496012,eV_per_A
fmag,In,4752.0,0.00010136567466356647,0.003873682227545259,0.00967007285391377,0.026325048124463568,1.3484026498312736,1.34830128415661,0.00967007285391377,0.030387831200659386,0.08056531853697736,0.022451365896918308,0.06000209696984103,-0.029803366617832203,8.708385700304735,99.70907935231256,eV_per_A
nn1_dist,In,4752.0,2.3673020027871385,2.5045046035094436,2.5239307038900276,2.528512344805373,2.698140089506104,0.3308380867189653,2.5239307038900276,2.5182864713581097,0.03026583681783833,0.024007741295929197,2.564523956749267,2.46849299156555,1.3323590050592016,11.886077705953666,A
fx,P,4608.0,-0.814213,-0.0040402500000000004,-8.25e-05,0.00368425,0.575424,1.389637,-8.25e-05,-0.002004174479166667,0.04387658167602847,0.0077245000000000005,0.015271,-0.015627000000000002,-7.119568165210266,162.84578188171685,eV_per_A
fy,P,4608.0,-0.814213,-0.0040402500000000004,-8.25e-05,0.00368425,0.575424,1.389637,-8.25e-05,-0.002004174479166667,0.04387658167602847,0.0077245000000000005,0.015271,-0.015627000000000002,-7.119568165210264,162.84578188171685,eV_per_A
fz,P,4608.0,-1.012386,-0.003997,3.5000000000000004e-06,0.004558,0.973906,1.9862920000000002,3.5000000000000004e-06,-0.0007288513454861113,0.05426907984926945,0.008555,0.0173905,-0.0168295,-2.539483486638487,146.38660164970008,eV_per_A
fmag,P,4608.0,0.00010793516572461451,0.004129708943900188,0.009382780291576692,0.02324452807991936,1.2767600349239476,1.276652099758223,0.009382780291576692,0.027687072276147327,0.0776998585347626,0.019114819136019173,0.05191675678394812,-0.02454251976012857,10.41846188467463,138.38548918277095,eV_per_A
nn1_dist,P,4608.0,2.3673020027871385,2.5044816685893316,2.5234041760942896,2.5291087169520194,2.618380206412925,0.2510782036257866,2.5234041760942896,2.5159186408574428,0.024354521112119054,0.02462704836268781,2.566049289496051,2.4675410960453,-1.486699732857656,5.245944052816778,A
